---,HeroID,SpawnYear,NativeNodeID,RecruitDifficulty,PreferredRecruiterHeroID,PrestigeRequirement,ClueDescription
LinChong,LinChong,1101,Kaifeng,70,ChaiJin,150,東京八十萬禁軍教頭，受陷害後發配滄州草料場，需柴進書信或大義感召。
WuSong,WuSong,1101,Yuncheng,65,SongJiang,120,景陽岡打虎壯士，在陽谷縣為都頭，宋江親自相邀可直接加入。
LuZhishen,LuZhishen,1101,Erlongshan,60,YangZhi,100,五台山受戒長老，佔據二龍山寶珠寺，以酒肉豪氣或楊志結交可招募。
LiJun,LiJun,1101,Jiangzhou,55,TongWei,80,潯陽江上艄公販鹽領袖，童氏兄弟出面可立即招攬。
YangZhi,YangZhi,1101,Daming,75,LuZhishen,150,殿司制使流落大名府，梁中書帳下提轄，魯智深以武會友可招募。
SongJiang,SongJiang,1101,Yuncheng,40,ChaoGai,50,鄆城縣押司及時雨，四方豪傑仰慕，晁蓋相邀極易入夥。
LuJunyi,LuJunyi,1105,Daming,90,YanQing,300,北京大名府河北三絕玉麒麟，需燕青侍奉或吳用設智賺上山。
WuYong,WuYong,1101,Yuncheng,50,ChaoGai,50,智多星鄉村私塾先生，聞知晁蓋起事必定主動來投。
GongsunSheng,GongsunSheng,1101,Jizhou,70,ChaoGai,120,薊州二仙山羅真人高足，得道全真，探得生辰綱主動尋晁蓋。
GuanSheng,GuanSheng,1103,Kaifeng,80,SongJiang,250,蒲東巡檢大刀關勝，朝廷命官，宋江親自陣前招降方可歸順。
QinMing,QinMing,1101,Qingzhou,75,SongJiang,180,青州統制霹靂火，性急如火，需宋江設計破城後以禮相待招降。
HuyanZhuo,HuyanZhuo,1102,Kaifeng,80,GuanSheng,220,汝寧郡都統制雙鞭呼延灼，連環馬破後，關勝出面勸降。
HuaRong,HuaRong,1101,Qingfengshan,45,SongJiang,80,清風寨知寨神射小李廣，視宋江為至親兄長，見信即投。
ChaiJin,ChaiJin,1101,Cangzhou,50,SongJiang,100,滄州柴家莊小旋風，後周皇裔，好客養士，宋江至莊即傾心相助。
LiKui,LiKui,1101,Jiangzhou,40,SongJiang,50,江州大牢獄卒黑旋風，宋江以十兩銀子相贈即認其為主。
DaiZong,DaiZong,1101,Jiangzhou,50,SongJiang,80,江州兩院押獄神行太保，與吳用為舊友，見宋江即結拜。
HuSanniang,HuSanniang,1102,Dulonggang,70,SongJiang,150,獨龍岡扈家莊一丈青，林沖陣前生擒後，宋江認作義妹許配王英。
AnDaoquan,AnDaoquan,1103,Jiangzhou,60,ZhangShun,100,建康府神醫，浪裏白條張順親往延請，斬除後顧之憂方可上山。
ShiQian,ShiQian,1101,Jizhou,50,YangXiong,80,薊州盜馬飛賊鼓上蚤，楊雄石秀解救翠屏山後一同投奔梁山。
YueFei,YueFei,1120,Kaifeng,95,SongJiang,500,相州湯陰精忠報國岳武穆，極度忠君愛國，需聲望達500並奉詔抗金方可結盟。
HanShizhong,HanShizhong,1118,Hangzhou,85,YueFei,400,西軍勇將蘄王韓世忠，豪氣蓋世，岳飛出面可結為抗金同盟。
WanyanZongbi,WanyanZongbi,1115,Shangjing_Jin,100,None,999,大金四太子金兀朮，大金皇室統帥，誓滅遼宋，不可常規招降。
Temujin,Temujin,1125,Karakorum,100,None,999,蒙古大汗成吉思汗，草原霸主，經略歐亞，唯有戰場徹底征服。
