---,HeroID,Nickname,StarType,AuraID,AuraName,AuraDescription
SongJiang,SongJiang,及時雨,天魁星,Aura_TimelyRain,及時甘霖,所在要塞民心治安每月自然提升+5，招攬在野好漢花費金錢減半。
LuJunyi,LuJunyi,玉麒麟,天罡星,Aura_JadeQilin,麒麟祥瑞,所在部隊全軍士氣不低於80，且麾下所有重騎兵移動力+1。
WuYong,WuYong,智多星,天機星,Aura_ResourcefulStar,神機妙算,戰鬥中每回合多獲得1點智謀軍令點數，敵軍伏兵機率降低50%。
GongsunSheng,GongsunSheng,入雲龍,天閒星,Aura_CloudDragon,道法自然,部隊行軍無視惡劣天候懲罰，施展道術法力消耗降低50%。
GuanSheng,GuanSheng,大刀,天勇星,Aura_GreatBlade,武聖英風,戰場斬殺敵將時，敵方全體部隊士氣瞬間下降15點。
LinChong,LinChong,豹子頭,天雄星,Aura_PantherHead,百萬教頭,部隊正面對抗敵軍槍騎兵時免傷+25%，槍術技能冷卻減少1回合。
QinMing,QinMing,霹靂火,天猛星,Aura_Thunderbolt,霹靂烈焰,部隊攻城時對城防破壞度提升50%，戰意高昂。
HuyanZhuo,HuyanZhuo,雙鞭,天威星,Aura_TwinWhips,將門雄威,部隊防禦力不受破甲效果影響，重甲部隊免傷提升20%。
HuaRong,HuaRong,小李廣,天英星,Aura_LittleLiGuang,百步神射,麾下弓弩部隊射擊不受夜間與迷霧視野懲罰，暴擊傷害提升50%。
ChaiJin,ChaiJin,小旋風,天貴星,Aura_Whirlwind,仗義疏財,所在要塞招攬英雄成功率提升25%，要塞商業稅收提升15%。
LuZhishen,LuZhishen,花和尚,天孤星,Aura_FloweryMonk,金剛不壞,受到致命傷害時強制保留1點生命並獲得無敵護體1回合。
WuSong,WuSong,行者,天傷星,Aura_ThePilgrim,打虎豪氣,無副將孤軍奮戰時，自身攻擊力提升40%，反擊傷害提升50%。
YangZhi,YangZhi,青面獸,天暗星,Aura_BlueFacedBeast,將門忠魂,護送糧草輜重部隊時行軍速度+30%，全隊免疫敵軍伏擊。
LiJun,LiJun,混江龍,天富星,Aura_RiverDragon,大江龍王,要塞造船消耗資源減半，水軍作戰全隊攻擊力與航速提升30%。
DaiZong,DaiZong,神行太保,天速星,Aura_MagicTraveler,神行疾風,斥候探馬偵察半徑擴大3倍，世界地圖戰爭迷霧驅散速度翻倍。
LiKui,LiKui,黑旋風,天殺星,Aura_BlackWhirlwind,嗜血狂斧,步兵肉搏破壞力+50%，可直接破壞敵方防禦柵欄與陷阱。
HuSanniang,HuSanniang,一丈青,地慧星,Aura_PureTenFeet,巾幗英姿,戰場上生擒敵方敗退武將機率提升40%。
AnDaoquan,AnDaoquan,神醫,地靈星,Aura_DivinePhysician,妙手回春,所在要塞傷病員康復速度提升100%，徹底免疫瘟疫與傷寒災害。
LingZhen,LingZhen,轟天雷,地軸星,Aura_SkyShaker,火器神工,要塞火炮防禦射程+2格，攻城器械建造週期減半。
ShiQian,ShiQian,鼓上蚤,地賊星,Aura_FleaOnDrum,神偷妙手,潛入敵城打探軍情成功率100%，夜間可盜取敵軍20%儲備糧草。
YueFei,YueFei,岳武穆,名將,Aura_YueArmy,岳家軍魂,全軍無視敵軍怯戰效果，對異族金兵戰鬥力額外提升40%。
WanyanZongbi,WanyanZongbi,金兀朮,金國統帥,Aura_IronPagoda,女真鐵騎,麾下鐵浮屠重騎兵平原衝鋒傷害提升50%。
Temujin,Temujin,成吉思汗,草原大汗,Aura_GenghisKhan,蒼狼狂潮,麾下所有騎射部隊可邊移動邊射擊，征服據點掠奪收益翻倍。
