---,ItemID,DisplayName,ItemType,StrengthBonus,VitalityBonus,DexterityBonus,IntelligenceBonus,MoraleBonus,GrantedTrait,GoldValue,Description
Item_GuanBlade,Item_GuanBlade,青龍偃月刀,Weapon,12,5,0,0,10,IronWall,5000,關勝祖傳名刀，重八十二斤，冷艷鋸霜雪，有萬夫不當之勇。
Item_SnakeSpear,Item_SnakeSpear,丈八蛇矛,Weapon,11,4,2,0,8,None,4500,林沖與杜壆所用之丈八長矛，矛尖如靈蛇吐信，刺穿重鎧。
Item_Halberd,Item_Halberd,方天畫戟,Weapon,10,3,5,0,5,None,4000,呂方、郭盛、史文恭所使之雙耳畫戟，能刺能砍，百變莫測。
Item_TwinWhips,Item_TwinWhips,水磨八棱雙鋼鞭,Weapon,9,5,0,0,8,IronWall,3800,呼延灼祖傳雙鞭，水磨鋼鑄，沉重無比，能碎鐵甲硬石。
Item_ZenStaff,Item_ZenStaff,六十二斤水磨禪杖,Weapon,10,8,-2,0,10,IronWall,3500,魯智深五台山打造之重兵器，翻飛如狂風暴雨，力拔山河。
Item_TwinBlades,Item_TwinBlades,雪花鑌鐵戒刀,Weapon,8,4,8,0,10,None,3600,武松所得之異國寶刀，夜間常發悲鳴，削鐵如泥，吹毛立斷。
Item_WindBlade,Item_WindBlade,劈風刀,Weapon,9,3,6,0,8,None,3200,石寶所用之南離寶刀，揮斬時帶有狂風之聲，連斬梁山大將。
Item_GoldSword,Item_GoldSword,先天金劍,Weapon,6,0,10,12,8,Sorcery,4800,金劍先生李助之神劍，能御氣飛劍，光芒萬丈，壓制天下槍棒。
Item_HookSpear,Item_HookSpear,金槍班鉤鐮槍,Weapon,7,2,8,0,5,None,2800,徐寧家傳絕技鉤鐮槍，專破各路連環重騎馬陣。
Item_TwinBroadswords,Item_TwinBroadswords,繡鸞雙刀,Weapon,6,2,9,0,5,None,2600,一丈青扈三娘與答里孛所用雙刀，輕靈如雪花舞動。
Item_ThunderCannon,Item_ThunderCannon,轟天子母神炮,Weapon,15,0,0,8,15,None,6000,凌振精製之火器重炮，一發山搖地動，聲震百里。
Steed_JadeLion,Steed_JadeLion,照夜玉獅子,Steed,2,5,12,0,10,DivineSpeed,6000,段景住自北國盜得之天下第一名馬，通體雪白，日行千里，夜行八百。
Steed_RedHare,Steed_RedHare,千里赤兔馬,Steed,3,6,10,0,10,DivineSpeed,5500,關勝之名駒，毛如火炭，奔馳如飛，涉水過山如履平地。
Steed_BlackSnow,Steed_BlackSnow,踢雪烏騅馬,Steed,2,5,8,0,8,DivineSpeed,4800,呼延灼之坐騎，通體墨黑，四蹄如雪，衝鋒陷陣無可匹敵。
Steed_MountainFlyer,Steed_MountainFlyer,轉山飛,Steed,1,4,10,0,8,DivineSpeed,4500,方臘大將王寅之寶馬，翻山越嶺捷如靈猿，跋山涉水。
Steed_WindChaser,Steed_WindChaser,千里追風駒,Steed,1,3,8,0,5,DivineSpeed,3500,大遼大金邊境名產良駿，耐力非凡，極耐久征。
Armor_GoldenRing,Armor_GoldenRing,雁翎金圈甲,Armor,0,12,0,0,8,IronWall,5000,徐寧家傳至寶，由時遷盜上梁山。刀槍不入，箭矢莫傷，輕便如羽。
Armor_TripleChain,Armor_TripleChain,三重連環鎖子連環鎧,Armor,0,15,-2,0,10,IronWall,4500,大遼統軍兀顏光所披之重鎧，外覆銅葉，內襯熟鐵，防禦絕倫。
Armor_IronPagoda,Armor_IronPagoda,女真鐵浮屠重鎧,Armor,2,14,-3,0,8,IronWall,4200,金兀朮精銳重騎所著重甲，人馬皆披鐵甲，如鋼鐵巨獸。
Book_NineHeaven,Book_NineHeaven,九天玄女三卷天書,Book,0,5,5,18,20,Sorcery,8000,宋江於還道村九天玄女廟受賜之神書，記載行軍布陣、降妖伏魔之通天秘法。
Book_DanShu,Book_DanShu,柴家丹書鐵券,Book,0,0,0,10,25,Inspire,7500,後周世宗賜柴家之免死免罪鐵券，見券如見先帝，能庇護全寨豪傑免遭罪責。
Book_TaiYiChart,Book_TaiYiChart,太乙混天象陣圖,Book,0,0,0,15,12,Sorcery,6000,兀顏光與賀重寶所傳大陣圖譜，包涵二十八宿與十一曜生剋之理。
Book_SunTzu,Book_SunTzu,孫子兵法十三篇,Book,0,0,0,12,10,None,4000,春秋名將孫武所著兵學聖典，精研者可通曉天下行軍奇策。
Book_MengDe,Book_MengDe,孟德新書,Book,0,0,0,10,8,None,3000,三國曹操註釋之兵法精要，記載治軍與奇襲調度。
Charm_DivineSpeed,Charm_DivineSpeed,神行甲馬天符,Charm,0,0,15,5,10,DivineSpeed,3000,神行太保戴宗所佩之神行符咒，綁於雙腿日行八百里。
Charm_DemonMirror,Charm_DemonMirror,照妖寶鏡,Charm,0,0,0,10,10,Sorcery,3500,能破除一切幻術、妖法與迷霧神陣之古鏡。
Medicine_GoldenSalve,Medicine_GoldenSalve,起死回生金創百草膏,Medicine,10,10,0,0,15,DivinePhysician,2000,神醫安道全調製之救命聖藥，能瞬間化解劇毒、癒合重創。
Medicine_TigerBoneWine,Medicine_TigerBoneWine,三碗不過岡透瓶香,Medicine,5,5,0,0,20,Inspire,1500,景陽岡特產烈酒，飲之能極大振奮豪氣與戰意。
